"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2002,7944.2
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2002,6914.7
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2002,4144.6
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2002,141.2
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2002,887.8
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2002,0.5
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2002,332.6
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2002,221.3
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2002,97.3
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2002,22.9
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2002,88.4
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2002,1635.5
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",2002,1162.8
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",2002,39.9
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",2002,37.0
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",2002,163.0
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2002,232.9
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2002,6897.7
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",2002,4640.8
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2002,2353.2
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2002,422.0
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",2002,955.8
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",2002,1301.2
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2002,1625.9
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2002,475.8
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2002,1144.3
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2002,215.1
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2002,862.3
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2002,760.1
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",2002,2144.7
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",2002,1391.0
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",2002,339.5
